,company,description,link,location,title
128,Infutor Data Solutions,"Company Overview
Infutor Data Solutions, LLC provides world-class data solutions for businesses to most accurately identify key consumer information, powering them to make critical, strategic business decisions. We do this through access to the most comprehensive and accurate data, provided through powerful and flexible technology, giving businesses extensive insight into the core of their business. Infutor's data solutions drive essential business functions in identity verification, fraud and risk, marketing, analytics, multi-media, and compliance applications.
Infutor was formed in 2003 as a compiler of mass telephone and referential data assets. Since then, Infutor Data Solutions has grown into a full-service provider, producing world-class data solutions, which empower businesses to make critical, strategic decisions. In 2016, Infutor received a large strategic investment led by the growth equity team at Norwest Venture Partners, a global multi-stage investment firm with more than $6 billion in capital under management.
Infutor's headquarters are located in Oakbrook Terrace, IL. with offices in Chicago, IL., Fort Myers, FL., Olathe, KS. and San Rafael de Escazú, Costa Rica.
Position Description
As a Data Engineer at Infutor you will guide colleagues on how to ingest, store, process, analyze and explore/visualize data on our platforms. You will work on data migrations and transformational projects with colleagues to design large-scale data processing systems, data storage systems, develop data pipelines optimized for scaling, and troubleshoot potential platform issues.
In this role you are the Infutor Data Engineer working with Infutor's most strategic customers. Working as a

team, you will support customer implementation of Infutor products through architecture guidance, best

practices, data migration, capacity planning, implementation, troubleshooting, monitoring and much more.
This role will report to our Manager of Data Engineering and be based in our San Rafael de Escazú office.
Key Performance Indicators for this role are:
Self- management: Every piece of software developed, must be done following Agile methodologies. The developers must be self-managed, they should be able to gather requirements, then plan and estimate iterations based on it. They must also report progress and inform about any issue that shows up in a daily basis. At the end of the iteration, they should perform reviews and retrospectives for identifying what can be improved on the next one.
Documentation: Every piece of software developed, must be well documented before it is coded. Documentation shouldn't be extensive but must help the developer to plan the solution before working on it.
Coding: Always apply best practices: write code that is easy to read, simple, easy to maintain, has good performance and can be extended. Code refactor whenever any of this attributes can be improved.
Support: Maintain and modify existing application software based on new software release requirements. Provide system support on production issues, user and tester needs.
Quality: Only deliver what is 100% finished. This includes what is fully tested.
Responsibilities and Duties
At Infutor, Data Engineers work in an Agile environment, so they need to fully understand and follow the principles

stated in the Agile Manifesto (http://agilemanifesto.org/principles.html). Depending on the project, they need to work on self-organized teams or by themselves; in both cases they need to be self-motivated and independent. They need to work incrementally, willing to revisit work (code refactoring) and accepting that the big picture will

evolve over time (forget about big designs up front).
As a Data Engineer, your responsibilities will include, but are not limited to:
Perform: analysis, design, coding and testing for all software assignments.
Write documentation:
User Stories
User Acceptance tests
Wireframes with details
Deployment instructions
Architecture and design
Write Unit Tests
Code always using best practices and standards for ensuring technical excellence.
Provide support on production issues.
Deliver infrastructure projects to enable a new data lake
Deliver data infrastructure projects to enable advanced analytics
Assist in rapid development of data pipelines and analytics prototypes
Explore data sources to better understand the availability and quality of data
Document available data sources and how they are being transformed
Works closely with subject matter experts, functional experts and other colleagues for building data pipelines from structured and unstructured data
Help in conceptualizing and deliver infrastructure to enable advanced analytics
Technical coaching.
Plan and estimate the work to be done.
Frequently report progress or issues.
Qualifications and Skills
Ideal Technical Expertise:
University degree or college diploma in the field of computer science, computer engineer or related
Proficiency in SQL, query optimization, and data modeling
Data warehouse architecture
ETL tools. Experience with data transfer and manipulation.
Previous programming experience(at least one): Scala, Spark, Python, R, JavaScript
2+ years of professional data engineering experience in a fast-paced environment
Familiarity with Agile methodologies such as Scrum
Exceptionally qualified candidates will also have:
Experience using Jenkins
Experience or training on Amazon Web Services (AWS) technologies such as: S3, Glue, Matillion,
Snowflake DB, Amazon Aurora
Experience with Agile and Scrums
Ideal Business Expertise:
Strong verbal and written communication skills (Spanish/English)
Proactive self-starter
Problem solver with critical thinking skills
Quality focus
Quick learner interested in self-development
Ability to multitask with multiple projects
Ability to work independently and partner with a team as an effective collaborator
Desire to learn and grow at a fast-paced, high-growth company
Adaptive and flexible - able to change direction as required
Positive attitude that finds excitement in change and challenges
Compensation and Benefits
A career with Infutor offers:
Competitive payment
Opportunity to learn new technologies
Design freedom under establish parameters
Tuition programs.
Excellent work environment
Work from home program
Breakfast and lunch
Private medical insurance
Performance Units
Employee Referral Bonus

NRT3PMqe1C",https://cr.indeed.com/rc/clk?jk=0699faf88520e5a2&fccid=aaec239ee89ea94c&vjs=3,"San Rafael, Provincia de San José",Experienced Data Engineer
129,IBM,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
About IBM:
IBM is a global technology and innovation company. It is the largest technology and consulting employer in the world, with presence in 170 countries. The diversity and breadth of the entire IBM portfolio of research, consulting, solutions, services, systems and software, unusually distinguishes IBM from other companies in the industry.
Over the past 100 years, a lot has changed at IBM, in this new era of Cognitive Business, IBM is helping to reshape industries as diverse as healthcare, retail, banking, travel, manufacturing, and many more, by bringing together our expertise in Cloud, Analytics, Security, Mobile, and the Internet of Things. We like to say, “be essential.” We are changing how we craft. How we collaborate. How we analyze. How we engage.
Join the next generation of innovators, inventors and entrepreneurs who are crafting the very way the world works. We want the brightest minds doing work that encourages, in an environment where growth is supported. IBMers get to discover their potential, so they’re encouraged to build breakthroughs that help our clients succeed. We’re establishing teams with dynamic strengths with people who want their ideas to matter. Join us — you’ll be proud to call yourself an IBMer.
Our culture:
IBM is committed to crafting a diverse environment and is proud to be an equal opportunity employer. You will receive consideration for employment without regard to your race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. We are committed to compliance with all fair employment practices regarding citizenship and immigration status.
Business unit introduction:
IBM Global Technology Services (GTS) helps clients plan, implement and manage an efficient, resilient, flexible IT infrastructure. IBM GTS is the partner of choice for infrastructure services – be it transformational outsourcing tied to business outcomes or integrated managed services or discrete services.

Who you are:

You’ll manage and provide management support to the agents who are supporting the customer inquiries and problems.

What you’ll do:
Analyze technical issues covering Windows and Apple devices.
Work and communication with service desk and resolver groups and service leaders
Ensure that all incidents, requests and tasks on in level 2 queues are completed within SLA
Understand support provided by service desk
Ensure a high standard of customer service
Trouble-shooting Windows Xp, Windows 7
Fixing network issues (VPN, Ethernet, Wireless)

How we’ll help you grow:
You’ll have access to all the technical and management training courses you need, to become the expert you want to be.
You’ll learn directly from expert developers in the field; our team leads love to mentor.
You have the opportunity to work in many different areas to determine what really excites you

Required Professional and Technical Expertise
Problem solving skills and RCA skills
Understanding of AD (Active directory) environment.
Understanding of ticket SLA's.
Detailed understanding of service desk responsibilities and SLAs
Flexible with working hours
Proven time management/organizational skills.
Ability to work under pressure
Proven communication skills.
Should be willing to work in shifts along with the team in customer business time.
Abilityu to work in a team with willingness to learn and drive to achieve.
Pro-active and focussed on metrics.
Compliance - 100% IT-Sec and on time and accurate ILC clocking in last 6 months
Awareness on GDF, PBA, SLA/SLO metrics
Proven knowledge on GDF concepts
Working knowledge on MS- Office suite and business software
Should have proven attendance record
English - Advance

Preferred Professional and Technical Expertise
None


About Business Unit
At Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",https://cr.indeed.com/rc/clk?jk=e96b89226839b19f&fccid=de71a49b535e21cb&vjs=3,"Heredia, Provincia de Heredia",Centralized Technical Support
130,Accenture,"Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture solves our clients’ toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world.

The Software Engineer is a professional in object-oriented programing with expertise in back-end technologies such as Java, .NET, PHP, Python, relational databases, non-relational databases, MVC server-side frameworks, XML, JSON, REST services, and CMS implementations (Adobe Experience Manager (AEM), WordPress, Drupal, Sitecore, etc.). A software developer can work on several projects providing solutions that follow best practices. An academic background on software engineering is preferred.

Key Responsibilities

Design

Work with team members to gather and interpret user/system requirements into design specifications
Design and code applications to functional and technical programming standards
Develop system specifications and interfaces for complex components.

Implement and/or maintain

Create operational documentation for the application
Provide primary support for installation of application releases into production
Maintain applications according to SLAs
Conduct project and issue management (status reporting, issue reporting, ETC/budget reporting) for assigned scope of work.
Test

Develop and implement testing plans
Work across the Service Delivery Lifecycle
Work across the Service Delivery Lifecycle on engineering solutions for new system roll-outs, major/minor enhancements, and/or ongoing maintenance of existing applications
Analyze, design, build, and/or test new components or enhancements to existing modules

Required Experience
At least 2 years of proven experience as a software engineer working in the implementation of web solutions (web sites or service interfaces).
Strong knowledge of MVC frameworks or web service engines libraries like Spring and understanding on how to efficiently build web pages or SOAP/REST services.
Understanding of the HTTP stateless nature and how to handle user data and sessions using cookies and external storage.
Experience consuming external data sources (databases, or other services) efficiently.
Experience optimizing databases queries for performance and reduce resources usage.
Experience troubleshooting applications by debugging and reading log files.
Experience working in agile projects and play an active role during daily, planning and retrospective meetings.
Experience working on enterprise projects, following defined guidelines by architects and product owners.
Experience with peer review methodologies and their importance for the projects quality.

Skills
Intermediate English skills: writing, reading and speaking.
Strong Object-Oriented Programming (OOP) foundations: encapsulation, abstraction, inheritance and polymorphism.
Strong knowledge of server-side development languages: Java, .NET, PHP, Python, Perl, Node.js.
Experience with MVC frameworks: Apache Struts, Spring MVC, Java Server Faces (JSF), Zend, Symfony, CodeIgniter, CakePHP, Yii, Laravel, ASP.NET MVC, FubuMVC and similar.
Experience with Web Services engines: Apache CXF, Apache Axis, Jersey, WSO2, Slim, DAVE, Zend, Tonic, Recess, FRAPI, Epiphany, .NET, WCF, ServiceStack, etc.
Experience with REST / SOAP interfaces definition and usage.
Experience with server-side template engines: Apache FreeMarker, Apache Tiles, Velocity, JavaServer Pages Standard Tag Library (JSTL), Adobe HTL, Twig, Dwoo, Smarty, RainTPL, Savant. DotLiquit, StringTemlate, NVelocity, HHaml, Spark, Brail, etc.
Knowledge of relational databases using SQL language: MySQL, PostgreSQL, MS SQL, Oracle.
Knowledge of non-relational databases: MongoDB, Cassandran, CouchDB, Hypertable, Elastic Search.
Understanding of development life cycles: Iterative, Cascade, Prototype, Agile, XP, Spiral, etc.
Experience with client-side integration with MVC frameworks and service interfaces.
Knowledge of maintaining software application and executing activities like monitoring, defect fixing and debugging.
Understanding SOA (Service Oriented Architecture).
Knowledge of Unified Modeling Language (UML), Entity – Relation Diagrams, Flow Diagrams, Master Technical Documents, etc.

Pluses
JavaScript (Asynchronous requests, MVC frameworks).
Design Patterns.
Unit Testing with tools like Junit or TestNG.
Knowledge of Big Data tools like Hadoop, Hive, Spark, etc.
Possible Academic Background
Degree in the following or similar: Programming, Computer Science, Web Development, Software Engineer, Information Technology or advanced studies in Systems Engineering.",https://cr.indeed.com/rc/clk?jk=1bba3ffe635574c1&fccid=a4e4e2eaf26690c9&vjs=3,"San José, Provincia de San José",Software Engineering Analyst
131,GomezLee Marketing,"Qualifications
 Professional on Industrial engineering, business administration. Master or Specialization is a plus
 3-5 years of experience in B2B Sales within technology companies.
 Proven track record of b2b sales experience in tech industry developing strategic customer relationships and closing sales in a very competitive environment.
 High levels of achievement against sales quota.
 Solid skills to manage and maintain business relationships within customers and the partners (carriers, developers).
 Extensive successful demonstrable experience in a field sales role.
 Bilingual (English & Spanish), Microsoft Office
 Travel Percentage: 20%

Responsibilities
 Develops strong relationships with customer (Enterprises) contacts to gain insight into the business and their communications’ needs in order to build a strong needs solving proposal.
 Develops strong relationship with partners (Carriers, Developers b2b area)
 Support partners with the client relationship (enterprises trainings, product presentation, offer presentations, follow up etc.)
 Focuses on the strategic nature of the relationship and builds long term value for the client (enterprise) and sustainable success for Bullitt.
 Works under general direction toward predetermined short and long term goals.
 Understands the client supplier ecosystem and builds partnerships where appropriate to deliver against objectives.
 Sells the Bullitt’s products through a consultative selling approach and maintains good relationships with key individuals within named accounts and partners.
 Responsible for expanding and retaining the client (enterprise) while ensuring ongoing excellent customer service.
 Primary sales point-of-contact for the B2B account, representing the organization to the customer and the customer to the organization.
 Propose strategies and orchestrates company resources to maximize sales volume within assigned accounts.
 Actively builds networks with contacts (enterprises) and the partner ecosystem that can contribute to achieve company objectives.
 Identifies and qualifies opportunities, developing and executing the sales process.
 Responsible for meeting assigned quota. Forecast accuracy, pipeline generation and follow up.
 Leads Tracking tool update


Tools
 Office corporate account (email, intranet access, access to all corporate tools),
 Computer, cellphone Customers data bases (can be purchased)
 Marketing material (POP, merchandising, etc).
 Events (vertical, carriers and developers B2B events.
 Leads management tool (SmarTsheets or other lead management tool).
 Travel, clients relationship expenses",https://cr.indeed.com/rc/clk?jk=0abfda1f55115726&fccid=320e00800bfc2d22&vjs=3,"San José, Provincia de San José",B2B Representative
132,Syniverse,"General Summary A Senior Systems Engineer has the responsibilities to develop, design and test new applications and perform life cycle support for existing applications. In this role, you will support the development effort for subsystems (or major components) of large-scale projects.This position will also provide cross-functional support for operational issues. Duties and Responsibilities • Facilitate or attend internal and external technical overviews and determine technical feasibility • Assist in the requirements phase for projects • Create agile stories from high-level design documents utilizing Object Oriented or Structured Methods that contain items such as low-leveling state machine diagrams, common procedural definitions, database design elements • Code and unit test an application from detailed design specifications, within an Agile framework • Integration testing across interfacing functional groups • Assist engineers assigned to the project by providing technical guidance through the development phases of the project • Document thorough release notes detailing the implementation process according to company procedures • Assist operations with the actual implementation of an application • Perform post-implementation monitoring and testing to insure the release is functioning as expected • Work with Product Support to research customer reported problems • Using company’s test environment and emulation tools, duplicate problematic scenarios reported by the customer • Research and recommend new technology, methodologies to help increase overall efficiencies Job Requirements/Qualifications • Bachelor’s degree in Computer Science or related field or equivalent work experience • 7+ years experience in a development environment • Strong working knowledge of Agile software design processes and methods • Expert at programing language identified in Additional Info section below • Strong analytical and problem solving skills • Working knowledge of Microsoft Office applications • Solid understanding of system architecture • Solid understanding of statistical and benchmark testing • Experience with Integrated Development Environmentsand design patterns • Knowledge of CI/CD tools • Knowledge of version control systems Required Interpersonal Skills: • Ownership/Accountability for tasks/projects • Work well within a team environment • Excellent oral and written communication skills • Independent work habits • Proven ability to deliver quality software on time • Act with a sense of urgency • Positive attitude • Maintain composure in a stressful environment",https://cr.indeed.com/rc/clk?jk=53a8ea26145b59bf&fccid=f9af5aebcecd8ef2&vjs=3,Costa Rica,Sr. Full Stack Developer
133,Infutor Data Solutions,"Company Overview
Infutor Data Solutions, LLC provides world-class data solutions for businesses to most accurately identify key consumer information, powering them to make critical, strategic business decisions. We do this through access to the most comprehensive and accurate data, provided through powerful and flexible technology, giving businesses extensive insight into the core of their business. Infutor's data solutions drive essential business functions in identity verification, fraud and risk, marketing, analytics, multi-media, and compliance applications.
Infutor was formed in 2003 as a compiler of mass telephone and referential data assets. Since then, Infutor Data Solutions has grown into a full-service provider, producing world-class data solutions, which empower businesses to make critical, strategic decisions. In 2016, Infutor received a large strategic investment led by the growth equity team at Norwest Venture Partners, a global multi-stage investment firm with more than $6 billion in capital under management.
Infutor's headquarters are located in Oakbrook Terrace, IL. with offices in Fort Myers, FL., and San Rafael de Escazú, Costa Rica.
Developer Position Description
As a Developer, you will work in our growing technology team. A software developer at Infutor researches, analyze requirements, plans, designs, codes, tests and deploys the applications he/she works on. Once the system is in production, he/she is responsible of giving support by debugging and maintaining the system. For this reason, this position needs to be multi-disciplinary, not a specialist, and also needs to have knowledge on a variety of technologies that will allow him/her to provide technical excellence required.
This role will report to our Manager of Development, and be based in our San Rafael de Escazú office.
Key Performance Indicators for this role are:
Self- management: Every piece of software developed, must be done following Agile methodologies. The developers must be self-managed, they should be able to gather requirements, then plan and estimate iterations based on it. They must also report progress and inform about any issue that shows up in a daily basis. At the end of the iteration, they should perform reviews and retrospectives for identifying what can be improved on the next one.
Documentation: Every piece of software developed, must be well documented before it is coded. Documentation shouldn't be extensive but must help the developer to plan the solution before working on it.
Coding: Always apply best practices: write code that is easy to read, simple, easy to maintain, has good performance and can be extended. Code refactor whenever any of this attributes can be improved.
Support: Maintain and modify existing application software based on new software release requirements. Provide system support on production issues, user and tester needs.
Quality: Only deliver what is 100% finished. This includes what is fully tested.
Responsibilities and Duties
As a Developer, your responsibilities will include, but are not limited to:
Perform: analysis, design, coding and testing for all software assignments.
Write documentation on internal code, architecture, and design
Write Unit Tests (before writing the code)
Code always using best practices and standards for ensuring technical excellence.
Only deliver fully working software.
Provide support on production issues.
Close report of the project advance.
Technical coaching.
At Infutor, developers work in an Agile environment, so one needs to fully understand and follow the principles stated in the Agile Manifesto (http://agilemanifesto.org/principles.html). Depending on the project, he/she may work in self-organized teams or by themselves; in both cases they need to be self-motivated and independent. The Developer will need to work incrementally, willing to revisit work (code refactoring) and accepting that the big picture will evolve over time (forget about big designs up front).
Qualifications and Skills
Ideal Technical Expertise:
University degree or college diploma in the field of computer science, computer engineer or related.
2+ years of professional software development experience
Experience dealing with web frameworks including but not limited to Node.js and Angular.
Experience writing unit test and designing testable code.
Database and data storage knowledge.
Strong back-end knowledge.
Strong knowledge of object-oriented design patterns.
Professional experience with object oriented languages such as Java or C# .Net.
Familiarity with Agile methodologies such as Scrum.
Exceptionally qualified candidates will also have:
Knowledge of cloud frameworks , specifically AWS Cloud Platform services.
 Experience with modern source control repositories (e. g. Git) and devOps toolsets (Jenkins/ Ansible etc).
Experience with microservice architectures and an understanding of design principles for scalability, performance, and reliability.
Experience with distributed systems.
Experience with open source applications, frameworks, libraries and unix-like operating systems.
Ideal Business Expertise
Strong verbal and written communication skills (Spanish/English)
Proactive self-starter
Problem solver with critical thinking skills
Quality focus
Quick learner interested in self-development
Ability to multitask with multiple projects
Ability to work independently and partner with a team as an effective collaborator
Desire to learn and grow at a fast-paced, high-growth company
Adaptive and flexible - able to change direction as required
Compensation and Benefits
A career with Infutor offers:
Competitive payment
Opportunity to learn new technologies
Design freedom under establish parameters
Tuition programs.
Excellent work environment
Work from home program
Breakfast and lunch
Private medical insurance
Performance Units
Employee Referral Bonus
p2H7GfFXJH",https://cr.indeed.com/rc/clk?jk=1f03d1ed270aa165&fccid=aaec239ee89ea94c&vjs=3,"San Rafael, Provincia de San José",Experienced Software Developer
134,Amzn Support Srvcs Costa Rica,"7+ years of experience managing technical teams5+ years of experience managing managersProficient oral and written communication skillsAbility to travel up to 40%.A Bachelor degree from an accredited university or equivalent Amazon experiencePrevious IT Infrastructure Operations, IT Service Operations, IT Service Management or IT Business Operations experience.

The Amazon Vision Operations Center is seeking a Sr. Site Leader to drive the execution and continuous improvement of critical operations, service delivery, and support processes which serves millions of customers around the world. The role will lead a large operational team of professionals delivering a global service operations capability that directly supports various emerging Amazon vision systems which require augmentation of human oversight, decision making, disposition, and control.
As Amazon vision systems rapidly expand across multiple business segments, this senior role will lead site operations, strategic planning, continuous improvement, metrics and measures development and reporting, along with tactical support oversight. In this role you will provide coaching, mentoring, inspiration, and leadership to a diverse team of managers, engineers, technicians, and associates. Although this role is based in San Jose, Costa Rica, you will travel to global support offices to regularly meet with your broader team and customers. You will learn about the business first hand and develop relationships with Business and IT leadership, General Managers, and a variety of Amazon Operations leaders. You will regularly develop and lead large, cross-functional projects and enterprise programs, and build relationships with your constituents including business leaders, software developers, executives, suppliers, peer site leaders, and other support teams.

Demonstrated leadership in building a culture of Continuous Improvement for process and operationsMotivates and Inspires others by creating a climate in which people are driven to do their bestUnderstands personal strengths, weaknesses, opportunities and limitsDemonstrates integrity and rapidly builds trustFlexible to handle changing priorities, deal with and manage self through ambiguity and use good judgment in stressful situationsMust be able to think big, develop innovative solutions, and dive into the deepest detailsMBA or Master’s Degree in a technical discipline",https://cr.indeed.com/rc/clk?jk=730c5c13370c2ae0&fccid=fe2d21eef233e94a&vjs=3,"San José, Provincia de San José",Amazon Vision Operations Center Site Leader
135,"Fiserv, Inc.","Who We Are:
EnAct™, Fiserv’s market-leading banking CRM solution, leverages Microsoft’s highly acclaimed Dynamics platform to meet the specialized sales and service requirements of retail and commercial banking. This innovative Fiserv solution enables financial institutions to deliver superior customer experience and consistently execute their sales and customer relationship strategies.
What does a great CRM Development Engineer do?
As an EnAct/CRM Development Engineer, you will implement, tailor and integrate the EnAct solution across their sales and service operations. With support from EnAct technical experts, you will be primary point of engagement with client stakeholders including line of business representatives, IT and Project Management resources.
You will apply expert knowledge of the EnAct solution and the Microsoft Dynamics CRM platform while advising clients about CRM best practices in retail and commercial banking. You will bring to bear your skills in requirements analysis, data mapping, process design, development and communication to help Fiserv EnAct clients align their people, process and technology to their strategy and to get the most out of their CRM technology investment.
Required Qualifications:
Bachelor’s degree in Computer Science, System Engineering and/or equivalent work experience.
Minimum 3 years’ experience in technology field related to support, implementation or development areas.
Experience working with the following technologies: JavaScript, C#, SQL, .NET and Reporting Services.
1 to 2 years of experience with Dynamics CRM.
Experience working directly with customers and troubleshooting.
Proven experience on client facing positions dealing with internal and external clients
Advance English level – B2.
Preferred Skills:
Dynamics CRM – Certified. Plus
Previous work experience related to banking applications is a plus.
Self-management and self-starter
Excellent written and oral skills
Travel required: 5 % of travel
Learn more about us.
In a world moving faster than ever before, Fiserv helps clients deliver solutions in step with the way people live and work today – financial services at the speed of life. With 24,000 associates, we help more than 12,000 clients worldwide create and deliver solutions to enable today's consumer to move and manage money with ease, speed and convenience. Our Aspiration is to move money and information in a way that moves the world. As a FORTUNE™ 500 company and one of FORTUNE Magazine World’s Most Admired Companies for the sixth consecutive year, we are committed to excellence and purposeful innovation.
We welcome and encourage diversity in our workforce. We are an equal opportunity employer/disability/vet.
Explore the possibilities of a career with Fiserv and Find Your Forward with us.",https://cr.indeed.com/rc/clk?jk=0af1a699f5154ff2&fccid=1ea0475711674f3b&vjs=3,"Heredia, Provincia de Heredia",Microsoft Dynamics CRM Developer
136,World Fuel,"At World Fuel Services, our employees are the key to our global success.We are industry leaders due to the innumerable talents of our approximately 5000- strong professional team. Our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. Our high-performance culture is what allows us to drive sustained growth. Stronger together, we promote an environment where individuals can thrive.

When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 1 upper case letter, 1 number, and 1 special character.
Please note that by submitting an employment application you consent to World Fuel Services processing your information for this role and potentially for future employment opportunities, in accordance with applicable laws. To learn more about how we protect and/or process personal information, please visit the WFS Privacy Center at: https://www.wfscorp.com/en/privacy-center.
World Fuel Services is seeking a Java Developer to help drive the development and delivery of our internal applications. The key responsibilities include:
Design and develop Java based applications and microservices.
Evaluate and provide technical solutions to complex application development problems.
Collaborate with other team members to develop product features and services.
Work with QA on developing testing processes, frameworks, and automation strategies.
Stay up to date on relevant technologies, trends and opportunities.
Job Requirements:
BS in Computer Science or related discipline.
Significant experience in software development using Java and Javascript, including project and dependency management with tools like Maven or Gradle
Experience developing solutions using Spring Framework, including design and development of microservices using Spring Boot
Proven ability to design scalable web services, preferably RESTful
Oracle ADF experience would be a plus
Knowledge of Scrum and Agile Methodologies
Understanding of the software practices of Continuous Integration and Automated Testing
Experience with single sign-on, session management, user profiles, and user identity and authentication frameworks such as OAuth a strong plus
Commitment to understanding the business domain and incorporating quality software practices into all phases of the project life lifecycle
Strong team player with excellent communication, problem solving and decision making skills
Self-motivated professional who demonstrates strong technical agility and responsiveness and who is eager to learn and grow",https://cr.indeed.com/rc/clk?jk=a3abe982caa55895&fccid=e6a074b872ebbb1a&vjs=3,"San José, Provincia de San José",Java Developer
137,"Fiserv, Inc.","What does a great Scrum Master do?
You as a Scrum Master will be part of Fiserv Global Services CR, Auto Lending Delivery Group. You'll be the go to person, supporting and helping others overcome obstacles during the software creation process. Emphasizing and leading to align to our client’s Agile Principles and methodology.
You will be efficiently and accurately identifying risks and issues, raising questions and reviewing findings with major partners, working predominantly with Product Managers, fellow scrum masters overseas, business analysts, quality analysts and software developers.
This is an excellent opportunity for you to utilize your experience as a Scrum Master and show your leadership wisdom by supporting the team in effective planning of work and encouraging them to identify and achieve the sprint goals. This role provides excellent opportunities for exposure to leaders, new technologies, and future career growth.
You can expect to:
Perform the following (Sprint Planning, Daily Stand Up, Backlog grooming, Sprint Review/Demo, Retrospective meeting).
Remove barriers for the Development Team’s progress
Communicate with BU stakeholders (onsite USA) for reviews, clarifications, design walk through etc.
Help the team implement the actions identified during the Retrospective meetings
Help team by documenting, tracking, and communicating risks, issues and unresolved problems
Create various status and progress reports and updates
Help the Product Owner by finding techniques for improvement Product Backlog management
Enable the Scrum team to reach “high performing” state
Maintain and track sprint through TFS
Basic Qualifications for Consideration:
Degree in Software engineering or similar.
3 years of experience working as a Scrum Master.
Fluent English B2+
Certified Scrum Master or similar
Preferred Skills, Experience, and Education:
.Net background development experience is a plus
Travel required: Less than 10% (Trainings, business meetings)
Very accessible person, positive outlook & team player
Great leadership skills
Learn more about Fiserv:
In a world moving faster than ever before, Fiserv helps clients deliver solutions in step with the way people live and work today – financial services at the speed of life. With 24,000 associates, we help more than 12,000 clients worldwide create and deliver solutions to enable today's consumer to move and manage money with ease, speed and convenience. Our Aspiration is to move money and information in a way that moves the world. As a FORTUNE™ 500 company and one of FORTUNE Magazine World’s Most Admired Companies for the sixth consecutive year, we are committed to excellence and purposeful innovation.
We welcome and encourage diversity in our workforce. Fiserv is an equal opportunity employer/disability/vet
Explore the possibilities of a career with Fiserv and Find Your Forward with us.",https://cr.indeed.com/rc/clk?jk=101d214b74c6e518&fccid=1ea0475711674f3b&vjs=3,"Tres Ríos, Provincia de Cartago","Scrum Master, Professional"
